Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
330,1903.44,1702.28,1535.46,1262.47,2377.98,1468.40,1450.03,1450.24
331,1908.23,1705.97,1539.71,1266.06,2383.55,1472.56,1453.46,1454.25
332,1913.57,1709.95,1543.98,1269.70,2389.37,1476.72,1456.91,1458.27
333,1918.82,1713.81,1548.28,1273.31,2395.18,1481.02,1460.36,1462.52
334,1924.56,1718.19,1552.85,1277.03,2402.28,1485.19,1463.81,1466.80
335,1929.24,1724.39,1557.36,1280.69,2408.23,1489.35,1467.26,1470.86
336,1933.99,1730.86,1561.64,1284.43,2413.41,1493.51,1470.71,1474.78
337,1939.31,1734.97,1565.79,1288.00,2419.54,1497.67,1474.24,1478.85
338,1944.07,1741.88,1570.30,1291.70,2426.33,1501.83,1477.93,1482.99
339,1949.96,1745.30,1574.58,1295.29,2433.53,1506.13,1481.38,1487.27
340,1956.25,1748.73,1579.06,1298.95,2440.63,1510.30,1484.84,1491.56
341,1960.93,1752.01,1583.33,1302.54,2446.45,1514.46,1488.29,1495.57
342,1965.59,1755.44,1587.63,1306.06,2451.61,1518.20,1491.73,1499.53
343,1970.37,1758.87,1592.00,1309.81,2458.40,1522.36,1495.18,1503.74
344,1975.89,1762.30,1596.30,1313.43,2464.85,1526.52,1498.63,1507.88
345,1980.52,1767.56,1600.57,1316.96,2471.32,1530.81,1502.08,1512.00
346,1985.23,1772.81,1604.99,1320.51,2476.81,1535.00,1505.50,1516.02
347,1990.36,1780.97,1609.27,1324.05,2482.67,1539.16,1508.98,1519.97
348,1994.96,1787.95,1613.54,1327.62,2489.13,1543.32,1512.42,1524.15
349,2001.52,1791.82,1618.24,1331.46,2497.53,1548.32,1517.95,1528.69
350,2006.97,1795.65,1623.03,1335.64,2506.30,1553.75,1523.51,1533.31
351,2012.04,1799.21,1627.70,1339.49,2515.07,1558.40,1529.24,1537.97
352,2017.61,1803.04,1632.50,1343.39,2524.77,1562.98,1534.80,1542.90
353,2023.29,1807.01,1637.28,1347.44,2535.67,1568.40,1540.33,1547.78
354,2028.05,1810.43,1641.81,1351.19,2542.79,1572.56,1543.78,1552.05
355,2032.81,1813.92,1646.36,1354.94,2550.22,1577.14,1547.24,1556.45
356,2037.42,1817.36,1650.73,1358.65,2556.45,1581.36,1550.69,1560.87
357,2042.39,1820.92,1655.50,1362.45,2565.29,1585.94,1554.14,1565.84
358,2047.42,1824.61,1660.28,1366.52,2574.02,1590.93,1559.75,1570.78
359,2052.30,1828.72,1664.98,1370.31,2582.56,1595.51,1563.20,1575.42
360,2059.65,1834.64,1669.76,1374.19,2590.98,1600.09,1568.71,1580.07
361,2064.67,1840.55,1674.48,1377.97,2598.73,1604.74,1574.19,1584.63
