Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.15500,163.636,137.072,128.997,115.051,158.765,115.051,378.25,244.427
0.15500,164.143,137.458,129.458,115.438,159.302,115.438,378.996,245.25
0.15500,164.649,137.844,129.888,115.821,159.805,115.821,380.284,246.071
0.15600,165.16,138.23,130.305,116.201,160.309,116.201,382.184,246.916
0.15600,165.668,138.629,130.738,116.582,160.812,116.582,383.455,247.756
0.15600,166.191,139.028,131.206,116.969,161.316,116.969,384.698,248.559
0.15700,166.731,139.466,131.684,117.364,161.852,117.364,385.977,249.398
0.15700,167.254,139.89,132.119,117.756,162.389,117.756,388.392,250.279
0.15700,167.778,140.315,132.534,118.136,162.892,118.136,389.088,251.119
0.15800,168.306,140.739,132.973,118.533,163.429,118.533,389.839,251.95
0.15800,168.832,141.19,133.491,118.929,163.933,118.929,391.144,252.76
0.15800,169.352,141.705,133.897,119.308,164.436,119.308,392.433,253.575
0.15800,169.87,142.257,134.334,119.698,164.94,119.698,393.736,254.418
0.15900,170.377,142.771,134.747,120.075,165.476,120.075,395.08,255.235
0.15900,170.883,143.26,135.159,120.453,165.979,120.453,395.813,256.09
0.15900,171.39,143.736,135.572,120.833,166.483,120.833,397.659,256.942
0.16000,171.898,144.199,135.978,121.207,166.953,121.207,398.936,257.735
0.16000,172.406,144.661,136.394,121.588,167.489,121.588,400.162,258.574
0.16000,172.913,145.124,136.808,121.965,168.026,121.965,402.009,259.455
0.16100,173.485,145.575,137.215,122.341,168.562,122.341,402.76,260.323
0.16100,174.049,145.986,137.623,122.716,169.098,122.716,404.034,261.164
0.16100,174.613,146.551,138.062,123.1,169.635,123.1,405.338,262.007
0.16200,175.144,147.297,138.501,123.49,170.205,123.49,406.61,262.912
0.16200,175.686,147.84,138.961,123.888,170.742,123.888,408.466,263.751
0.16200,176.288,148.214,139.377,124.269,171.278,124.269,409.189,264.591
0.16300,176.889,148.588,139.807,124.65,171.815,124.65,411.575,265.477
0.16300,177.488,148.975,140.225,125.049,172.385,125.049,412.298,266.357
0.16300,178.112,149.361,140.67,125.45,172.921,125.45,414.704,267.231
0.16400,178.724,149.748,141.096,125.835,173.458,125.835,416.008,268.076
0.16400,179.251,150.135,141.515,126.221,173.994,126.221,416.742,268.949
0.16400,179.776,150.534,142.001,126.636,174.63,126.636,418.561,269.847
0.16400,180.302,150.934,142.451,127.042,175.167,127.042,419.825,270.694
0.16500,180.818,151.308,142.863,127.419,175.736,127.419,421.131,271.596
0.16500,181.345,151.694,143.297,127.807,176.24,127.807,421.849,272.469
0.16500,181.868,152.081,143.731,128.194,176.842,128.194,423.149,273.358
0.16600,182.391,152.468,144.152,128.578,177.379,128.578,423.854,274.201
0.16600,182.916,152.854,144.583,128.962,177.915,128.962,425.761,275.047
0.16600,183.429,153.241,144.997,129.34,178.452,129.34,427.051,275.921
0.16700,183.943,153.628,145.405,129.716,178.922,129.716,428.323,276.717
0.16700,184.449,154.014,145.816,130.093,179.425,130.093,429.628,277.535
0.16700,184.958,154.401,146.227,130.469,179.928,130.469,430.917,278.347
0.16800,185.466,154.788,146.632,130.844,180.398,130.844,431.658,279.141
0.16800,185.974,155.162,147.026,131.212,180.868,131.212,432.333,279.942
0.16800,186.482,155.535,147.431,131.587,181.371,131.587,433.025,280.799
0.16800,187.016,155.909,147.837,131.963,181.874,131.963,433.772,281.658
0.16900,187.551,156.283,148.243,132.337,182.378,132.337,434.51,282.515
0.16900,188.088,156.657,148.65,132.713,182.881,132.713,436.337,283.342
0.16900,188.609,157.031,149.061,133.089,183.384,133.089,437.609,284.197
0.17000,189.133,157.417,149.475,133.471,183.92,133.471,438.865,285.049
0.17000,189.655,157.804,149.903,133.853,184.457,133.853,439.628,285.924
0.17000,190.175,158.191,150.31,134.231,184.96,134.231,440.916,286.732
0.17100,190.698,158.577,150.719,134.604,185.463,134.604,442.732,287.591
0.17100,191.219,158.964,151.132,134.983,185.966,134.983,444.537,288.419
0.17100,191.768,159.35,151.55,135.363,186.469,135.363,445.254,289.238
0.17200,192.302,159.801,152.019,135.762,187.038,135.762,447.608,290.121
0.17200,192.814,160.239,152.435,136.141,187.542,136.141,448.302,290.983
0.17200,193.324,160.678,152.851,136.52,188.078,136.52,450.159,291.863
0.17200,193.866,161.167,153.254,136.892,188.548,136.892,450.92,292.668
0.17300,194.414,161.785,153.699,137.278,189.051,137.278,452.224,293.497
0.17300,195,162.542,154.178,137.679,189.621,137.679,454.081,294.415
0.17300,195.538,162.954,154.605,138.063,190.124,138.063,454.809,295.279
0.17400,196.089,163.379,155.048,138.449,190.661,138.449,456.663,296.127
0.17400,196.64,163.817,155.469,138.832,191.23,138.832,457.909,297.01
0.17400,197.202,164.241,155.881,139.21,191.767,139.21,459.248,297.888
0.17500,197.719,164.628,156.304,139.596,192.303,139.596,459.966,298.74
0.17500,198.235,165.027,156.72,139.978,192.84,139.978,460.679,299.621
0.17500,198.786,165.413,157.128,140.355,193.342,140.355,461.399,300.443
0.17500,199.292,165.799,157.53,140.727,193.812,140.727,462.152,301.24
0.17600,199.801,166.211,157.945,141.112,194.315,141.112,464.013,302.079
0.17600,200.374,166.649,158.406,141.503,194.884,141.503,465.848,302.994
0.17600,200.967,167.073,158.872,141.892,195.42,141.892,467.145,303.84
0.17700,201.521,167.473,159.316,142.281,195.923,142.281,468.965,304.663
0.17700,202.097,167.885,159.731,142.661,196.426,142.661,470.82,305.496
0.17700,202.673,168.297,160.14,143.038,196.962,143.038,472.15,306.392
0.17800,203.249,168.709,160.55,143.415,197.499,143.415,472.908,307.293
0.17800,203.789,169.095,160.952,143.787,197.969,143.787,473.645,308.139
0.17800,204.38,169.533,161.437,144.184,198.538,144.184,474.951,309.045
0.17800,204.914,169.983,161.953,144.588,199.107,144.588,477.919,309.921
