Timesteps,AMG Class,AMG Free,CG Diag,CG Lusgs,GMRES Diag,GMRES Lusgs,CgDiagGPU,GmresDiagGPU
233,133.576,112.567,104.29,93.146,128.29,103.552,305.2,196.342
234,134.109,112.967,104.76,93.550,128.893,104.019,307.583,197.205
235,134.67,113.355,105.196,93.942,129.496,104.442,308.342,198.064
236,135.192,113.742,105.695,94.327,129.965,104.866,309.665,198.833
237,135.738,114.143,106.182,94.726,130.502,105.289,311.545,199.659
238,136.273,114.543,106.638,95.121,131.072,105.713,312.816,200.532
239,136.798,114.931,107.072,95.505,131.575,106.136,314.129,201.334
240,137.349,115.331,107.563,95.899,132.144,106.56,315.397,202.211
241,137.924,115.745,108.057,96.309,132.714,106.983,317.782,203.058
242,138.461,116.132,108.49,96.692,133.217,107.407,319.039,203.854
243,139.027,116.52,108.911,97.072,133.721,107.831,319.751,204.679
244,139.597,116.907,109.324,97.451,134.257,108.254,320.446,205.529
245,140.171,117.295,109.755,97.827,134.76,108.678,321.182,206.336
246,140.713,117.682,110.177,98.209,135.297,109.101,322.42,207.201
247,141.269,118.135,110.627,98.599,135.834,109.525,324.25,208.053
248,141.794,118.867,111.081,98.991,136.403,109.948,324.951,208.864
249,142.319,119.253,111.513,99.376,136.94,110.372,325.688,209.683
250,142.847,119.639,111.959,99.772,137.542,110.795,328.091,210.558
251,143.384,120.039,112.419,100.172,138.145,111.262,328.796,211.458
252,143.907,120.425,112.881,100.572,138.748,111.686,331.211,212.325
253,144.427,120.811,113.316,100.957,139.252,112.109,332.489,213.127
254,144.941,121.184,113.729,101.336,139.755,112.533,333.176,213.922
255,145.454,121.558,114.142,101.714,140.258,112.956,335.045,214.729
256,145.964,121.944,114.562,102.100,140.794,113.38,336.318,215.593
257,146.478,122.33,115,102.483,141.299,113.803,338.184,216.436
258,146.987,122.716,115.431,102.865,141.835,114.227,340.058,217.303
259,147.498,123.102,115.852,103.247,142.371,114.65,341.96,218.167
260,148.012,123.488,116.266,103.627,142.907,115.074,344.386,219.021
261,148.525,123.862,116.681,104.003,143.443,115.497,346.205,219.85
262,149.04,124.248,117.089,104.379,143.979,115.921,347.504,220.712
263,149.553,124.634,117.502,104.753,144.516,116.344,348.233,221.574
264,150.063,125.021,117.91,105.128,145.019,116.768,348.977,222.418
265,150.575,125.42,118.321,105.503,145.522,117.191,349.692,223.268
266,151.085,125.819,118.733,105.877,145.991,117.615,350.423,224.081
267,151.595,126.243,119.156,106.255,146.528,118.038,351.152,224.903
268,152.119,126.681,119.589,106.640,147.031,118.462,351.881,225.702
269,152.636,127.17,120.031,107.032,147.6,118.885,353.67,226.557
270,153.182,127.62,120.44,107.409,148.103,119.309,354.395,227.396
271,153.693,128.083,120.845,107.783,148.606,119.732,355.69,228.215
272,154.214,128.559,121.266,108.167,149.143,120.156,356.949,229.076
273,154.733,129.061,121.688,108.548,149.679,120.579,357.678,229.91
274,155.254,129.562,122.123,108.941,150.249,121.003,358.408,230.801
275,155.816,130.077,122.545,109.322,150.819,121.427,360.794,231.683
276,156.34,130.527,122.95,109.696,151.322,121.85,361.554,232.491
277,156.854,130.99,123.361,110.073,151.859,122.274,362.818,233.359
278,157.38,131.466,123.773,110.453,152.395,122.697,363.538,234.213
279,157.916,131.942,124.183,110.828,152.898,123.121,364.793,235.01
280,158.426,132.431,124.604,111.211,153.434,123.545,366.613,235.851
281,158.944,132.945,125.028,111.597,153.937,123.968,367.332,236.703
282,159.494,133.537,125.496,111.989,154.473,124.392,368.598,237.571
283,160.028,134.292,125.948,112.379,155.009,124.815,369.86,238.44
284,160.536,134.678,126.369,112.760,155.545,125.239,370.551,239.299
285,161.059,135.064,126.777,113.134,156.015,125.662,371.248,240.088
286,161.568,135.463,127.199,113.510,156.551,126.086,372.535,240.918
287,162.118,135.862,127.716,113.908,157.121,126.51,374.998,241.776
288,162.625,136.274,128.139,114.284,157.691,126.933,375.686,242.674
289,163.131,136.673,128.555,114.662,158.228,127.357,376.4,243.554
290,163.636,137.072,128.997,115.051,158.765,127.781,378.25,244.427
291,164.143,137.458,129.458,115.438,159.302,128.204,378.996,245.25
292,164.649,137.844,129.888,115.821,159.805,128.628,380.284,246.071
293,165.16,138.23,130.305,116.201,160.309,129.051,382.184,246.916
294,165.668,138.629,130.738,116.582,160.812,129.475,383.455,247.756
295,166.191,139.028,131.206,116.969,161.316,129.898,384.698,248.559
296,166.731,139.466,131.684,117.364,161.852,130.322,385.977,249.398
297,167.254,139.89,132.119,117.756,162.389,130.745,388.392,250.279
298,167.778,140.315,132.534,118.136,162.892,131.169,389.088,251.119
299,168.306,140.739,132.973,118.533,163.429,131.593,389.839,251.95
300,168.832,141.19,133.491,118.929,163.933,132.016,391.144,252.76
301,169.352,141.705,133.897,119.308,164.436,132.44,392.433,253.575
302,169.87,142.257,134.334,119.698,164.94,132.863,393.736,254.418
303,170.377,142.771,134.747,120.075,165.476,133.287,395.08,255.235
304,170.883,143.26,135.159,120.453,165.979,133.711,395.813,256.09
305,171.39,143.736,135.572,120.833,166.483,134.134,397.659,256.942
306,171.898,144.199,135.978,121.207,166.953,134.558,398.936,257.735
307,172.406,144.661,136.394,121.588,167.489,134.982,400.162,258.574
308,172.913,145.124,136.808,121.965,168.026,135.405,402.009,259.455
309,173.485,145.575,137.215,122.341,168.562,135.829,402.76,260.323
310,174.049,145.986,137.623,122.716,169.098,136.253,404.034,261.164
311,174.613,146.551,138.062,123.100,169.635,136.676,405.338,262.007
312,175.144,147.297,138.501,123.490,170.205,137.1,406.61,262.912
313,175.686,147.84,138.961,123.888,170.742,137.523,408.466,263.751
314,176.288,148.214,139.377,124.269,171.278,137.947,409.189,264.591
315,176.889,148.588,139.807,124.650,171.815,138.371,411.575,265.477
316,177.488,148.975,140.225,125.049,172.385,138.795,412.298,266.357
317,178.112,149.361,140.67,125.450,172.921,139.218,414.704,267.231
318,178.724,149.748,141.096,125.835,173.458,139.642,416.008,268.076
319,179.251,150.135,141.515,126.221,173.994,140.066,416.742,268.949
320,179.776,150.534,142.001,126.636,174.63,140.533,418.561,269.847
321,180.302,150.934,142.451,127.042,175.167,140.957,419.825,270.694
322,180.818,151.308,142.863,127.419,175.736,141.38,421.131,271.596
323,181.345,151.694,143.297,127.807,176.24,141.804,421.849,272.469
324,181.868,152.081,143.731,128.194,176.842,142.228,423.149,273.358
325,182.391,152.468,144.152,128.578,177.379,142.651,423.854,274.201
326,182.916,152.854,144.583,128.962,177.915,143.075,425.761,275.047
327,183.429,153.241,144.997,129.340,178.452,143.498,427.051,275.921
328,183.943,153.628,145.405,129.716,178.922,143.922,428.323,276.717
329,184.449,154.014,145.816,130.093,179.425,144.345,429.628,277.535
330,184.958,154.401,146.227,130.469,179.928,144.769,430.917,278.347
331,185.466,154.788,146.632,130.844,180.398,145.193,431.658,279.141
332,185.974,155.162,147.026,131.212,180.868,145.616,432.333,279.942
333,186.482,155.535,147.431,131.587,181.371,146.04,433.025,280.799
334,187.016,155.909,147.837,131.963,181.874,146.463,433.772,281.658
335,187.551,156.283,148.243,132.337,182.378,146.887,434.51,282.515
336,188.088,156.657,148.65,132.713,182.881,147.311,436.337,283.342
337,188.609,157.031,149.061,133.089,183.384,147.734,437.609,284.197
338,189.133,157.417,149.475,133.471,183.92,148.158,438.865,285.049
339,189.655,157.804,149.903,133.853,184.457,148.581,439.628,285.924
340,190.175,158.191,150.31,134.231,184.96,149.005,440.916,286.732
341,190.698,158.577,150.719,134.604,185.463,149.429,442.732,287.591
342,191.219,158.964,151.132,134.983,185.966,149.853,444.537,288.419
343,191.768,159.35,151.55,135.363,186.469,150.277,445.254,289.238
344,192.302,159.801,152.019,135.762,187.038,150.7,447.608,290.121
345,192.814,160.239,152.435,136.141,187.542,151.124,448.302,290.983
346,193.324,160.678,152.851,136.520,188.078,151.547,450.159,291.863
347,193.866,161.167,153.254,136.892,188.548,151.971,450.92,292.668
348,194.414,161.785,153.699,137.278,189.051,152.395,452.224,293.497
349,195,162.542,154.178,137.679,189.621,152.818,454.081,294.415
350,195.538,162.954,154.605,138.063,190.124,153.242,454.809,295.279
351,196.089,163.379,155.048,138.449,190.661,153.665,456.663,296.127
352,196.64,163.817,155.469,138.832,191.23,154.089,457.909,297.01
353,197.202,164.241,155.881,139.210,191.767,154.512,459.248,297.888
354,197.719,164.628,156.304,139.596,192.303,154.936,459.966,298.74
355,198.235,165.027,156.72,139.978,192.84,155.36,460.679,299.621
356,198.786,165.413,157.128,140.355,193.342,155.783,461.399,300.443
357,199.292,165.799,157.53,140.727,193.812,156.207,462.152,301.24
358,199.801,166.211,157.945,141.112,194.315,156.631,464.013,302.079
359,200.374,166.649,158.406,141.503,194.884,157.055,465.848,302.994
360,200.967,167.073,158.872,141.892,195.42,157.478,467.145,303.84
361,201.521,167.473,159.316,142.281,195.923,157.902,468.965,304.663
362,202.097,167.885,159.731,142.661,196.426,158.326,470.82,305.496
363,202.673,168.297,160.14,143.038,196.962,158.749,472.15,306.392
364,203.249,168.709,160.55,143.415,197.499,159.173,472.908,307.293
365,203.789,169.095,160.952,143.787,197.969,159.597,473.645,308.139
366,204.38,169.533,161.437,144.184,198.538,160.021,474.951,309.045
367,204.914,169.983,161.953,144.588,199.107,160.445,477.919,309.921
368,205.464,170.421,162.379,144.967,199.577,160.868,478.656,310.764
369,206.013,170.845,162.788,145.346,200.08,161.292,480.501,311.585
370,206.598,171.27,163.204,145.727,200.617,161.716,482.362,312.44
371,207.163,171.695,163.62,146.107,201.121,162.14,483.639,313.259
372,207.741,172.132,164.051,146.490,201.658,162.563,485.512,314.109
373,208.326,172.57,164.472,146.874,202.194,162.987,486.821,314.974
374,208.918,172.995,164.891,147.254,202.697,163.411,488.71,315.838
375,209.488,173.42,165.305,147.631,203.2,163.835,489.471,316.658
376,210.038,173.832,165.716,148.007,203.702,164.258,491.343,317.482
377,210.616,174.244,166.13,148.387,204.205,164.682,493.247,318.329
378,211.185,174.669,166.546,148.766,204.708,165.105,493.972,319.199
379,211.735,175.094,166.991,149.159,205.245,165.529,495.272,320.06
380,212.327,175.544,167.461,149.558,205.814,165.953,498.152,320.975
381,212.902,175.982,167.883,149.942,206.317,166.376,499.433,321.801
382,213.458,176.419,168.305,150.328,206.82,166.8,500.707,322.637
383,214,176.869,168.757,150.720,207.323,167.224,502.564,323.475
384,214.531,177.596,169.194,151.101,207.792,167.647,503.316,324.327
385,215.05,177.983,169.645,151.496,208.361,168.071,504.632,325.2
386,215.569,178.357,170.057,151.873,208.898,168.494,505.351,326.057
387,216.089,178.745,170.472,152.258,209.368,168.918,507.187,326.859
388,216.595,179.119,170.887,152.638,209.87,169.342,508.491,327.698
389,217.103,179.493,171.303,153.018,210.407,169.765,509.187,328.594
390,217.613,179.881,171.737,153.407,210.943,170.189,510.461,329.454
391,218.203,180.268,172.174,153.790,211.512,170.613,511.186,330.375
392,218.804,180.655,172.622,154.187,212.115,171.036,511.924,331.28
393,219.367,181.043,173.053,154.572,212.618,171.46,513.217,332.109
394,220,181.456,173.535,154.985,213.22,171.927,514.53,332.984
395,220.535,181.994,173.969,155.376,213.757,172.351,515.793,333.836
396,221.063,182.38,174.383,155.758,214.26,172.775,518.207,334.673
397,221.583,182.754,174.796,156.139,214.796,173.198,518.911,335.571
398,222.098,183.128,175.206,156.515,215.332,173.622,519.63,336.429
399,222.615,183.502,175.616,156.893,215.835,174.046,520.932,337.258
400,223.128,183.875,176.028,157.272,216.371,174.469,522.268,338.12
401,223.725,184.249,176.436,157.649,216.874,174.893,524.093,338.999
402,224.237,184.623,176.84,158.021,217.411,175.317,525.377,339.859
